cycle,state,pixel_count,image_ready,frame_write_valid,frame_write_ready,frame_write_pointer,frame_full,frame_read_active,frame_read_pointer,frame_read_valid,frame_read_ready,core_output_transfer,core_output_channel,spatial_index
0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0,1,0,0,0,1,0,0,0,0,0,0,0,x,0
1,2,0,1,0,1,0,0,0,0,0,0,0,x,0
2,2,1,1,0,1,0,0,0,0,0,0,0,x,0
3,2,2,1,0,1,0,0,0,0,0,0,0,x,0
4,2,3,1,0,1,0,0,0,0,0,0,0,x,0
5,2,4,1,0,1,0,0,0,0,0,0,0,x,0
6,2,5,1,0,1,0,0,0,0,0,0,0,x,0
7,2,6,1,0,1,0,0,0,0,0,0,0,x,0
8,2,7,1,0,1,0,0,0,0,0,0,0,x,0
9,2,8,1,0,1,0,0,0,0,0,0,0,x,0
10,2,9,1,0,1,0,0,0,0,0,0,0,x,0
11,2,10,1,0,1,0,0,0,0,0,0,0,x,0
12,2,11,1,0,1,0,0,0,0,0,0,0,x,0
13,2,12,1,0,1,0,0,0,0,0,0,0,x,0
14,2,13,1,0,1,0,0,0,0,0,0,0,x,0
15,2,14,1,0,1,0,0,0,0,0,0,0,x,0
16,2,15,1,0,1,0,0,0,0,0,0,0,x,0
17,2,16,1,0,1,0,0,0,0,0,0,0,x,0
18,2,17,1,0,1,0,0,0,0,0,0,0,x,0
19,2,18,1,0,1,0,0,0,0,0,0,0,x,0
20,2,19,1,0,1,0,0,0,0,0,0,0,x,0
21,2,20,1,0,1,0,0,0,0,0,0,0,x,0
22,2,21,1,0,1,0,0,0,0,0,0,0,x,0
23,2,22,1,0,1,0,0,0,0,0,0,0,x,0
24,2,23,1,0,1,0,0,0,0,0,0,0,x,0
25,2,24,1,0,1,0,0,0,0,0,0,0,x,0
26,2,25,1,0,1,0,0,0,0,0,0,0,x,0
27,2,26,1,0,1,0,0,0,0,0,0,0,x,0
28,2,27,1,0,1,0,0,0,0,0,0,0,x,0
29,2,28,1,0,1,0,0,0,0,0,0,0,x,0
30,2,29,1,0,1,0,0,0,0,0,0,0,x,0
31,2,30,1,0,1,0,0,0,0,0,0,0,x,0
32,2,31,1,0,1,0,0,0,0,0,0,0,x,0
33,2,32,1,0,1,0,0,0,0,0,0,0,x,0
34,2,33,1,0,1,0,0,0,0,0,0,0,x,0
35,2,34,1,0,1,0,0,0,0,0,0,0,x,0
36,2,35,1,0,1,0,0,0,0,0,0,0,x,0
37,2,36,1,0,1,0,0,0,0,0,0,0,x,0
38,2,37,1,0,1,0,0,0,0,0,0,0,x,0
39,2,38,1,0,1,0,0,0,0,0,0,0,x,0
40,2,39,1,0,1,0,0,0,0,0,0,0,x,0
41,2,40,1,0,1,0,0,0,0,0,0,0,x,0
42,2,41,1,0,1,0,0,0,0,0,0,0,x,0
43,2,42,1,0,1,0,0,0,0,0,0,0,x,0
44,2,43,1,0,1,0,0,0,0,0,0,0,x,0
45,2,44,1,0,1,0,0,0,0,0,0,0,x,0
46,2,45,1,0,1,0,0,0,0,0,0,0,x,0
47,2,46,1,0,1,0,0,0,0,0,0,0,x,0
48,2,47,1,0,1,0,0,0,0,0,0,0,x,0
49,2,48,1,0,1,0,0,0,0,0,0,0,x,0
50,2,49,1,0,1,0,0,0,0,0,0,0,x,0
51,2,50,1,0,1,0,0,0,0,0,0,0,x,0
52,2,51,1,0,1,0,0,0,0,0,0,0,x,0
53,2,52,1,0,1,0,0,0,0,0,0,0,x,0
54,2,53,1,0,1,0,0,0,0,0,0,0,x,0
55,2,54,1,0,1,0,0,0,0,0,0,0,x,0
56,2,55,1,0,1,0,0,0,0,0,0,0,x,0
57,2,56,1,0,1,0,0,0,0,0,0,0,x,0
58,2,57,1,0,1,0,0,0,0,0,0,0,x,0
59,2,58,1,0,1,0,0,0,0,0,0,0,x,0
60,2,59,1,0,1,0,0,0,0,0,0,0,x,0
61,2,60,1,0,1,0,0,0,0,0,0,0,x,0
62,2,61,1,0,1,0,0,0,0,0,0,0,x,0
63,2,62,1,0,1,0,0,0,0,0,0,0,x,0
64,2,63,1,0,1,0,0,0,0,0,0,0,x,0
65,2,64,1,0,1,0,0,0,0,0,0,0,x,0
66,2,65,1,0,1,0,0,0,0,0,0,0,x,0
67,2,66,1,0,1,0,0,0,0,0,0,0,x,0
68,2,67,1,0,1,0,0,0,0,0,0,0,x,0
69,2,68,1,0,1,0,0,0,0,0,0,0,x,0
70,2,69,1,0,1,0,0,0,0,0,0,0,x,0
71,2,70,1,0,1,0,0,0,0,0,0,0,x,0
72,2,71,1,0,1,0,0,0,0,0,0,0,x,0
73,2,72,1,0,1,0,0,0,0,0,0,0,x,0
74,2,73,1,0,1,0,0,0,0,0,0,0,x,0
75,2,74,1,0,1,0,0,0,0,0,0,0,x,0
76,2,75,1,0,1,0,0,0,0,0,0,0,x,0
77,2,76,1,0,1,0,0,0,0,0,0,0,x,0
78,2,77,1,0,1,0,0,0,0,0,0,0,x,0
79,2,78,1,0,1,0,0,0,0,0,0,0,x,0
80,2,79,1,0,1,0,0,0,0,0,0,0,x,0
81,2,80,1,0,1,0,0,0,0,0,0,0,x,0
82,2,81,1,0,1,0,0,0,0,0,0,0,x,0
83,2,82,1,0,1,0,0,0,0,0,0,0,x,0
84,2,83,1,0,1,0,0,0,0,0,0,0,x,0
85,2,84,1,0,1,0,0,0,0,0,0,0,x,0
86,2,85,1,0,1,0,0,0,0,0,0,0,x,0
87,2,86,1,0,1,0,0,0,0,0,0,0,x,0
88,2,87,1,0,1,0,0,0,0,0,0,0,x,0
89,2,88,1,0,1,0,0,0,0,0,0,0,x,0
